inventory_id,source_commit,application_id,application_name,application_version,source_path,source_line,subscriber_codeunit_id,subscriber_codeunit_name,subscriber_instance,subscriber_procedure,publisher_object_type,publisher_object,published_event_name,published_element_name,skip_on_missing_license,skip_on_missing_permission,procedure_signature,parameter_names,var_parameter_names,has_ishandled_parameter,has_handled_parameter,has_skip_parameter,conditional_compilation_context,prior_known,coarse_screen_status,selection_status
CZPOP-0001,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,17,11700,Acc. Schedule Management CZL,StaticAutomatic (default),CalcCZLOnAfterCalcCellValue,ObjectType::Codeunit,Codeunit::AccSchedManagement,OnAfterCalcCellValue,,false,false,"var AccSchedLine: Record ""Acc. Schedule Line""; var Result: Decimal",AccSchedLine | Result,AccSchedLine | Result,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0002,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,38,11700,Acc. Schedule Management CZL,StaticAutomatic (default),PrintAccScheduleByType,ObjectType::Codeunit,"Codeunit::""Financial Report Mgt.""",OnBeforePrint,,false,false,"var FinancialReport: Record ""Financial Report""; var IsHandled: Boolean",FinancialReport | IsHandled,FinancialReport | IsHandled,Yes,No,No,,Unknown,Not Screened,Unselected
CZPOP-0003,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,66,11700,Acc. Schedule Management CZL,StaticAutomatic (default),AccScheduleOverviewOnBeforePrint,ObjectType::Page,"Page::""Acc. Schedule Overview""",OnBeforePrint,,false,false,"var AccScheduleLine: Record ""Acc. Schedule Line""; ColumnLayoutName: Code[10]; var IsHandled: Boolean",AccScheduleLine | ColumnLayoutName | IsHandled,AccScheduleLine | IsHandled,Yes,No,No,,Unknown,Not Screened,Unselected
CZPOP-0004,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,108,11700,Acc. Schedule Management CZL,StaticAutomatic (default),ExtendedOnAfterCalcCellValue,ObjectType::Codeunit,Codeunit::AccSchedManagement,OnAfterCalcCellValue,,false,false,"var AccSchedLine: Record ""Acc. Schedule Line""; var SourceAccScheduleLine: Record ""Acc. Schedule Line""; var ColumnLayout: Record ""Column Layout""; var Result: Decimal",AccSchedLine | SourceAccScheduleLine | ColumnLayout | Result,AccSchedLine | SourceAccScheduleLine | ColumnLayout | Result,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0005,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,122,11700,Acc. Schedule Management CZL,StaticAutomatic (default),ExtendedOnBeforeDrillDownOnAccounts,ObjectType::Codeunit,Codeunit::AccSchedManagement,OnBeforeDrillDownOnAccounts,,false,false,"var AccScheduleLine: Record ""Acc. Schedule Line""; var TempColumnLayout: Record ""Column Layout""",AccScheduleLine | TempColumnLayout,AccScheduleLine | TempColumnLayout,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0006,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,136,11700,Acc. Schedule Management CZL,StaticAutomatic (default),ExtendedOnBeforeDrillDownOnGLAccount,ObjectType::Codeunit,Codeunit::AccSchedManagement,OnBeforeDrillDownOnGLAccount,,false,false,"var AccScheduleLine: Record ""Acc. Schedule Line""; var IsHandled: Boolean",AccScheduleLine | IsHandled,AccScheduleLine | IsHandled,Yes,No,No,,Unknown,Not Screened,Unselected
CZPOP-0007,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,143,11700,Acc. Schedule Management CZL,StaticAutomatic (default),ExtendedOnCalcCellValueInAccSchedLinesOnBeforeShowError,ObjectType::Codeunit,Codeunit::AccSchedManagement,OnCalcCellValueInAccSchedLinesOnBeforeShowError,,false,false,"SourceAccScheduleLine: Record ""Acc. Schedule Line""; var AccScheduleLine: Record ""Acc. Schedule Line""; var ColumnLayout: Record ""Column Layout""; CalcAddCurr: Boolean; StartDate: Date; EndDate: Date; var CellValue: Decimal; var Result: Decimal; var IsHandled: Boolean",SourceAccScheduleLine | AccScheduleLine | ColumnLayout | CalcAddCurr | StartDate | EndDate | CellValue | Result | IsHandled,AccScheduleLine | ColumnLayout | CellValue | Result | IsHandled,Yes,No,No,,Unknown,Not Screened,Unselected
CZPOP-0008,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,150,11700,Acc. Schedule Management CZL,StaticAutomatic (default),ExtendedOnBeforeDrillDownFromOverviewPage,ObjectType::Codeunit,Codeunit::AccSchedManagement,OnBeforeDrillDownFromOverviewPage,,false,false,"var AccScheduleLine: Record ""Acc. Schedule Line""; var TempColumnLayout: Record ""Column Layout""; var IsHandled: Boolean",AccScheduleLine | TempColumnLayout | IsHandled,AccScheduleLine | TempColumnLayout | IsHandled,Yes,No,No,,Unknown,Not Screened,Unselected
CZPOP-0009,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,165,11700,Acc. Schedule Management CZL,StaticAutomatic (default),TotalingTypeOnBeforeValidateEvent,ObjectType::Table,"Database::""Acc. Schedule Line""",OnBeforeValidateEvent,Totaling Type,false,false,"var Rec: Record ""Acc. Schedule Line""; var xRec: Record ""Acc. Schedule Line""",Rec | xRec,Rec | xRec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0010,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,172,11700,Acc. Schedule Management CZL,StaticAutomatic (default),TotalingOnAfterValidateEvent,ObjectType::Table,"Database::""Acc. Schedule Line""",OnAfterValidateEvent,Totaling,false,false,"var Rec: Record ""Acc. Schedule Line""; var xRec: Record ""Acc. Schedule Line""",Rec | xRec,Rec | xRec,No,No,No,,Unknown,Not Screened,Unselected
