publisher_id,source_commit,source_path,source_line,event_type,container_type,container_id,container_name,procedure_name,procedure_signature,parameter_names,var_parameter_names,include_sender,global_var_access,isolated_argument,has_ishandled_parameter,has_handled_parameter,has_skip_parameter,conditional_compilation_context
CZPUB-0001,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccSchedExtensionMgtCZL.Codeunit.al,541,IntegrationEvent,codeunit,31326,Acc. Sched. Extension Mgt. CZL,OnFindSharedAccountScheduleOnBeforeCalcAccSchedLineCellValue,"SourceAccScheduleLine: Record ""Acc. Schedule Line""; var ""; var AccScheduleLine: Record "": Record ""Acc. Schedule Line""; var ColumnLayout: Record ""Column Layout""; CalcAddCurr: Boolean; var CellValue: Decimal; var IsHandled: Boolean","SourceAccScheduleLine | ""; var AccScheduleLine | ColumnLayout | CalcAddCurr | CellValue | IsHandled","""; var AccScheduleLine | ColumnLayout | CellValue | IsHandled",false,false,,Yes,No,No,
CZPUB-0002,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccSchedExtensionMgtCZL.Codeunit.al,546,IntegrationEvent,codeunit,31326,Acc. Sched. Extension Mgt. CZL,OnAfterSetCustLedgEntryFilters,"AccScheduleExtensionCZL: Record ""Acc. Schedule Extension CZL""; var CustLedgerEntry: Record ""Cust. Ledger Entry""",AccScheduleExtensionCZL | CustLedgerEntry,CustLedgerEntry,false,false,,No,No,No,
CZPUB-0003,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccSchedExtensionMgtCZL.Codeunit.al,551,IntegrationEvent,codeunit,31326,Acc. Sched. Extension Mgt. CZL,OnAfterSetVendLedgEntryFilters,"AccScheduleExtensionCZL: Record ""Acc. Schedule Extension CZL""; var VendorLedgerEntry: Record ""Vendor Ledger Entry""",AccScheduleExtensionCZL | VendorLedgerEntry,VendorLedgerEntry,false,false,,No,No,No,
CZPUB-0004,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,339,IntegrationEvent,codeunit,11700,Acc. Schedule Management CZL,OnBeforePrintAccScheduleByType,"var FinancialReport: Record ""Financial Report""; var IsHandled: Boolean",FinancialReport | IsHandled,FinancialReport | IsHandled,false,false,,Yes,No,No,
CZPUB-0005,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,344,IntegrationEvent,codeunit,11700,Acc. Schedule Management CZL,OnBeforeAccScheduleOverviewOnBeforePrint,"var AccScheduleLine: Record ""Acc. Schedule Line""; ColumnLayoutName: Code[10]; var IsHandled: Boolean",AccScheduleLine | ColumnLayoutName | IsHandled,AccScheduleLine | IsHandled,false,false,,Yes,No,No,
CZPUB-0006,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/AccScheduleManagementCZL.Codeunit.al,349,IntegrationEvent,codeunit,11700,Acc. Schedule Management CZL,OnTotalingOnAfterValidateEventOnBeforeValidateFormula,"var AccScheduleLine: Record ""Acc. Schedule Line""; var AccSchedExtensionMgtCZL: Codeunit ""Acc. Sched. Extension Mgt. CZL""; var IsHandled: Boolean",AccScheduleLine | AccSchedExtensionMgtCZL | IsHandled,AccScheduleLine | AccSchedExtensionMgtCZL | IsHandled,false,false,,Yes,No,No,
CZPUB-0007,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ApprovalsManagementCZL.Codeunit.al,39,IntegrationEvent,codeunit,31397,Approvals Management CZL,OnBeforeSetStatusToApproved,var Variant: Variant,Variant,Variant,false,false,,No,No,No,
CZPUB-0008,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ApprovalsManagementCZL.Codeunit.al,44,IntegrationEvent,codeunit,31397,Approvals Management CZL,OnSetStatusToApproved,InputRecordRef: RecordRef; var Variant: Variant; var IsHandled: Boolean,InputRecordRef | Variant | IsHandled,Variant | IsHandled,false,false,,Yes,No,No,
CZPUB-0009,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/BankOperationsFunctionsCZL.Codeunit.al,226,IntegrationEvent,codeunit,31037,Bank Operations Functions CZL,OnCreateVariableSymbol,Input: Code[35]; var VariableSymbol: Code[10],Input | VariableSymbol,VariableSymbol,false,false,,No,No,No,
CZPUB-0010,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ConfVATEntUpdateMgtCZL.Codeunit.al,44,IntegrationEvent,codeunit,31130,Conf. VAT Ent. Update Mgt. CZL,OnBeforeGuiAllowed,var Result: Boolean; var IsHandled: Boolean,Result | IsHandled,Result | IsHandled,false,false,,Yes,No,No,
